source	destinations_disconnected_to
FAK2	ULK4	RAI14
CASP3	ULK4	RAI14
CATB	ULK4	RAI14
CAC1S	ULK4	RAI14
TA2R	ULK4	RAI14
TPMT	ULK4	RAI14
5HT1D	ULK4	RAI14
PIM1	ULK4	RAI14
AT1A1	ULK4	RAI14
MMP9	ULK4	RAI14
RL37	ULK4	RAI14
PARP1	ULK4	RAI14
RENR	ULK4	RAI14
ENPL	ULK4	RAI14
NR1I3	ULK4	RAI14
CAH1	ULK4	RAI14
SL9A7	ULK4	RAI14
ACM4	ULK4	RAI14
TOP1	ULK4	RAI14
DHB8	ULK4	RAI14
FABP6	ULK4	RAI14
GABR1	ULK4	RAI14
LY66C	ULK4	RAI14
GLNA	ULK4	RAI14
SCN1A	ULK4	RAI14
HDAC3	ULK4	RAI14
RENI	ULK4	RAI14
