source	dest	edges	cum_dist	avg_dist_per_edge
CA2D1	TLR3	4	0.634	0.1585
CA2D1	WNT3	6	0.704	0.117333333333333
CAH4	OR3A1	6	0.635	0.105833333333333
CAH4	OVGP1	4	0.623	0.15575
CAH4	ZMYM6	5	0.803	0.1606
CAH4	CHST7	5	0.848	0.1696
CAH4	HAUS2	7	0.929	0.132714285714286
CAH4	DDR2	6	0.974	0.162333333333333
CAH4	BCL7C	6	0.999	0.1665
CAH4	ARRB2	10	0.982	0.0982
CAH4	ASH2L	7	0.805	0.115
CAH4	ILKAP	5	0.678	0.1356
CAH4	SDC4	5	0.819	0.1638
CAH4	UFM1	6	1.111	0.185166666666667
CAH4	UCK2	6	0.983	0.163833333333333
CAH4	TRHDE	4	0.713	0.17825
CAH4	WLS	6	0.951	0.1585
CAH4	UBA1	5	0.954	0.1908
CAH4	STX5	8	0.919	0.114875
CAH4	GSTP1	4	0.707	0.17675
CAH4	TLR3	5	0.875	0.175
CAH4	WNT3	7	0.96	0.137142857142857
AK1C1	OR3A1	8	0.887	0.110875
AK1C1	OVGP1	5	0.928	0.1856
AK1C1	ZMYM6	5	0.475	0.095
AK1C1	CHST7	6	0.849	0.1415
AK1C1	HAUS2	7	0.965	0.137857142857143
AK1C1	DDR2	6	0.964	0.160666666666667
AK1C1	BCL7C	4	0.819	0.20475
AK1C1	ARRB2	5	0.794	0.1588
AK1C1	ASH2L	4	0.83	0.2075
AK1C1	ILKAP	7	0.31	0.0442857142857143
AK1C1	SDC4	4	0.7	0.175
AK1C1	UFM1	6	0.842	0.140333333333333
AK1C1	UCK2	8	0.831	0.103875
AK1C1	TRHDE	5	0.595	0.119
AK1C1	WLS	5	0.498	0.0996
AK1C1	UBA1	6	0.745	0.124166666666667
AK1C1	STX5	5	0.54	0.108
AK1C1	GSTP1	4	0.72	0.18
AK1C1	TLR3	4	0.756	0.189
AK1C1	WNT3	7	0.935	0.133571428571429
ROCK1	OR3A1	6	0.791	0.131833333333333
ROCK1	OVGP1	6	0.884	0.147333333333333
ROCK1	ZMYM6	6	0.442	0.0736666666666667
ROCK1	CHST7	7	0.959	0.137
ROCK1	HAUS2	3	0.405	0.135
ROCK1	DDR2	6	0.994	0.165666666666667
ROCK1	BCL7C	4	0.671	0.16775
ROCK1	ARRB2	3	0.683	0.227666666666667
ROCK1	ASH2L	3	0.948	0.316
ROCK1	ILKAP	6	0.227	0.0378333333333333
ROCK1	SDC4	2	0.158	0.079
ROCK1	UFM1	5	0.727	0.1454
ROCK1	UCK2	7	0.716	0.102285714285714
ROCK1	TRHDE	5	0.512	0.1024
ROCK1	WLS	5	0.926	0.1852
ROCK1	UBA1	2	0.568	0.284
ROCK1	STX5	6	0.519	0.0865
ROCK1	GSTP1	5	0.897	0.1794
ROCK1	TLR3	5	0.75	0.15
ROCK1	WNT3	3	0.55	0.183333333333333
CHLE	OR3A1	4	0.419	0.10475
CHLE	OVGP1	2	0.514	0.257
CHLE	ZMYM6	7	0.406	0.058
CHLE	CHST7	6	0.977	0.162833333333333
CHLE	HAUS2	5	0.819	0.1638
CHLE	DDR2	5	0.829	0.1658
CHLE	BCL7C	4	0.576	0.144
CHLE	ARRB2	3	0.943	0.314333333333333
CHLE	ASH2L	3	0.937	0.312333333333333
CHLE	ILKAP	6	0.132	0.022
CHLE	SDC4	6	0.391	0.0651666666666667
CHLE	UFM1	4	0.494	0.1235
CHLE	UCK2	6	0.483	0.0805
CHLE	TRHDE	3	0.446	0.148666666666667
CHLE	WLS	5	0.291	0.0582
CHLE	UBA1	4	0.397	0.09925
CHLE	STX5	3	0.391	0.130333333333333
CHLE	GSTP1	3	0.935	0.311666666666667
CHLE	TLR3	7	0.971	0.138714285714286
CHLE	WNT3	5	0.964	0.1928
J3QK85	OR3A1	4	0.359	0.08975
J3QK85	OVGP1	4	0.612	0.153
J3QK85	ZMYM6	5	0.367	0.0734
J3QK85	CHST7	4	0.345	0.08625
