source	destinations_disconnected_to
NMD3A	SOX11	BEX4
ASM	SOX11	BEX4
S12A1	SOX11	BEX4
CP1A1	SOX11	BEX4
INSR2	SOX11	BEX4
NCOA1	SOX11	BEX4
TBE	SOX11	BEX4
ITAL	SOX11	BEX4
PPARG	SOX11	BEX4
GSK3B	SOX11	BEX4
CAC1I	SOX11	BEX4
THB	SOX11	BEX4
KLK3	SOX11	BEX4
GBRA2	SOX11	BEX4
TBB4B	SOX11	BEX4
DRD4	SOX11	BEX4
CLIC1	SOX11	BEX4
GBRE	SOX11	BEX4
RHOA	SOX11	BEX4
TERT	SOX11	BEX4
RL23A	SOX11	BEX4
KITH	SOX11	BEX4
HIF1A	SOX11	BEX4
TEBP	SOX11	BEX4
PERM	SOX11	BEX4
TYSY	SOX11	BEX4
PAR10	SOX11	BEX4
NNMT	SOX11	BEX4
RARB	SOX11	BEX4
PK3CG	SOX11	BEX4
CAC1C	SOX11	BEX4
PLPL9	SOX11	BEX4
OPRM	SOX11	BEX4
PLMN	SOX11	BEX4
ADA	SOX11	BEX4
TNNC1	SOX11	BEX4
J3KN87	SOX11	BEX4
GBRG2	SOX11	BEX4
FAD1	SOX11	BEX4
PDE1A	SOX11	BEX4
GLUC	SOX11	BEX4
EST1	SOX11	BEX4
P2RX2	SOX11	BEX4
NOS3	SOX11	BEX4
GSTP1	SOX11	BEX4
CAH7	SOX11	BEX4
IL6	SOX11	BEX4
UD13	SOX11	BEX4
PDE4A	SOX11	BEX4
CBPB2	SOX11	BEX4
KCJ11	SOX11	BEX4
SCN5A	SOX11	BEX4
CP21A	SOX11	BEX4
CFTR	SOX11	BEX4
ACM1	SOX11	BEX4
GRIA2	SOX11	BEX4
CPT2	SOX11	BEX4
COMT	SOX11	BEX4
P53	SOX11	BEX4
CNGA1	SOX11	BEX4
HDAC9	SOX11	BEX4
KCNQ1	SOX11	BEX4
PGH1	SOX11	BEX4
CP2R1	SOX11	BEX4
CAC1H	SOX11	BEX4
CAB45	SOX11	BEX4
CDK2	SOX11	BEX4
SC6A2	SOX11	BEX4
AK1C2	SOX11	BEX4
CA2D2	SOX11	BEX4
S22A8	SOX11	BEX4
EBP	SOX11	BEX4
NADC	SOX11	BEX4
5HT5A	SOX11	BEX4
AHR	SOX11	BEX4
HDAC6	SOX11	BEX4
MRP2	SOX11	BEX4
PDE4B	SOX11	BEX4
AA2AR	SOX11	BEX4
PDE7B	SOX11	BEX4
FAK2	SOX11	BEX4
CASP3	SOX11	BEX4
CATB	SOX11	BEX4
CAC1S	SOX11	BEX4
TA2R	SOX11	BEX4
TPMT	SOX11	BEX4
5HT1D	SOX11	BEX4
PIM1	SOX11	BEX4
AT1A1	SOX11	BEX4
MMP9	SOX11	BEX4
RL37	SOX11	BEX4
PARP1	SOX11	BEX4
RENR	SOX11	BEX4
ENPL	SOX11	BEX4
NR1I3	SOX11	BEX4
CAH1	SOX11	BEX4
SL9A7	SOX11	BEX4
ACM4	SOX11	BEX4
TOP1	SOX11	BEX4
DHB8	SOX11	BEX4
FABP6	SOX11	BEX4
GABR1	SOX11	BEX4
LY66C	SOX11	BEX4
GLNA	SOX11	BEX4
SCN1A	SOX11	BEX4
HDAC3	SOX11	BEX4
RENI	SOX11	BEX4
