source	destinations_disconnected_to
CAC1I	CRLF3	TDRKH
THB	CRLF3	TDRKH
KLK3	CRLF3	TDRKH
GBRA2	CRLF3	TDRKH
TBB4B	CRLF3	TDRKH
DRD4	CRLF3	TDRKH
CLIC1	CRLF3	TDRKH
GBRE	CRLF3	TDRKH
RHOA	CRLF3	TDRKH
TERT	CRLF3	TDRKH
RL23A	CRLF3	TDRKH
KITH	CRLF3	TDRKH
HIF1A	CRLF3	TDRKH
TEBP	CRLF3	TDRKH
PERM	CRLF3	TDRKH
TYSY	CRLF3	TDRKH
PAR10	CRLF3	TDRKH
NNMT	CRLF3	TDRKH
RARB	CRLF3	TDRKH
PK3CG	CRLF3	TDRKH
CAC1C	CRLF3	TDRKH
PLPL9	CRLF3	TDRKH
OPRM	CRLF3	TDRKH
PLMN	CRLF3	TDRKH
ADA	CRLF3	TDRKH
TNNC1	CRLF3	TDRKH
J3KN87	CRLF3	TDRKH
GBRG2	CRLF3	TDRKH
FAD1	CRLF3	TDRKH
PDE1A	CRLF3	TDRKH
GLUC	CRLF3	TDRKH
EST1	CRLF3	TDRKH
P2RX2	CRLF3	TDRKH
NOS3	CRLF3	TDRKH
GSTP1	CRLF3	TDRKH
CAH7	CRLF3	TDRKH
IL6	CRLF3	TDRKH
UD13	CRLF3	TDRKH
PDE4A	CRLF3	TDRKH
CBPB2	CRLF3	TDRKH
KCJ11	CRLF3	TDRKH
SCN5A	CRLF3	TDRKH
CP21A	CRLF3	TDRKH
CFTR	CRLF3	TDRKH
ACM1	CRLF3	TDRKH
GRIA2	CRLF3	TDRKH
CPT2	CRLF3	TDRKH
COMT	CRLF3	TDRKH
P53	CRLF3	TDRKH
CNGA1	CRLF3	TDRKH
HDAC9	CRLF3	TDRKH
KCNQ1	CRLF3	TDRKH
PGH1	CRLF3	TDRKH
CP2R1	CRLF3	TDRKH
CAC1H	CRLF3	TDRKH
CAB45	CRLF3	TDRKH
CDK2	CRLF3	TDRKH
SC6A2	CRLF3	TDRKH
AK1C2	CRLF3	TDRKH
CA2D2	CRLF3	TDRKH
S22A8	CRLF3	TDRKH
EBP	CRLF3	TDRKH
NADC	CRLF3	TDRKH
5HT5A	CRLF3	TDRKH
AHR	CRLF3	TDRKH
HDAC6	CRLF3	TDRKH
MRP2	CRLF3	TDRKH
PDE4B	CRLF3	TDRKH
AA2AR	CRLF3	TDRKH
PDE7B	CRLF3	TDRKH
FAK2	CRLF3	TDRKH
CASP3	CRLF3	TDRKH
CATB	CRLF3	TDRKH
CAC1S	CRLF3	TDRKH
TA2R	CRLF3	TDRKH
TPMT	CRLF3	TDRKH
5HT1D	CRLF3	TDRKH
PIM1	CRLF3	TDRKH
AT1A1	CRLF3	TDRKH
MMP9	CRLF3	TDRKH
RL37	CRLF3	TDRKH
PARP1	CRLF3	TDRKH
RENR	CRLF3	TDRKH
ENPL	CRLF3	TDRKH
