source	dest	edges	cum_dist	avg_dist_per_edge
AT12A	BTK	4	0.626	0.1565
IOD3	SFPQ	6	0.708	0.118
IOD3	JPH3	7	1.024	0.146285714285714
IOD3	CDHR1	7	0.807	0.115285714285714
IOD3	APOL2	6	0.919	0.153166666666667
IOD3	KLK5	4	0.62	0.155
IOD3	CYR61	5	0.634	0.1268
IOD3	ALX1	6	0.925	0.154166666666667
IOD3	SNX27	5	0.939	0.1878
IOD3	PTPRG	5	0.97	0.194
IOD3	LAGE3	6	0.994	0.165666666666667
IOD3	RBM22	6	0.833	0.138833333333333
IOD3	ASXL1	6	0.63	0.105
IOD3	VGLL3	5	0.805	0.161
IOD3	SSX1	8	1.325	0.165625
IOD3	ACLY	6	0.725	0.120833333333333
IOD3	BTK	5	0.765	0.153
PGFRA	SFPQ	5	0.217	0.0434
PGFRA	JPH3	5	0.657	0.1314
PGFRA	CDHR1	6	0.3	0.05
PGFRA	APOL2	5	0.412	0.0824
PGFRA	KLK5	6	0.546	0.091
PGFRA	CYR61	4	0.127	0.03175
PGFRA	ALX1	5	0.418	0.0836
PGFRA	SNX27	4	0.432	0.108
PGFRA	PTPRG	3	0.53	0.176666666666667
PGFRA	LAGE3	4	0.576	0.144
PGFRA	RBM22	7	0.584	0.0834285714285714
PGFRA	ASXL1	5	0.123	0.0246
PGFRA	VGLL3	6	0.344	0.0573333333333333
PGFRA	SSX1	6	0.817	0.136166666666667
PGFRA	ACLY	5	0.218	0.0436
PGFRA	BTK	2	0.256	0.128
A1AG1	SFPQ	6	0.854	0.142333333333333
A1AG1	JPH3	6	0.958	0.159666666666667
A1AG1	CDHR1	7	0.953	0.136142857142857
A1AG1	APOL2	7	0.8	0.114285714285714
A1AG1	KLK5	4	0.962	0.2405
A1AG1	CYR61	5	0.78	0.156
A1AG1	ALX1	6	1.071	0.1785
A1AG1	SNX27	5	0.917	0.1834
A1AG1	PTPRG	3	0.622	0.207333333333333
A1AG1	LAGE3	4	0.996	0.249
A1AG1	RBM22	6	0.777	0.1295
A1AG1	ASXL1	6	0.776	0.129333333333333
A1AG1	VGLL3	6	0.789	0.1315
A1AG1	SSX1	8	1.225	0.153125
A1AG1	ACLY	3	0.615	0.205
A1AG1	BTK	4	0.91	0.2275
TNFA	SFPQ	3	0.214	0.0713333333333333
TNFA	JPH3	2	0.426	0.213
TNFA	CDHR1	4	0.335	0.08375
TNFA	APOL2	4	0.446	0.1115
TNFA	KLK5	4	0.524	0.131
TNFA	CYR61	2	0.162	0.081
TNFA	ALX1	4	0.452	0.113
TNFA	SNX27	2	0.965	0.4825
TNFA	PTPRG	4	0.577	0.14425
TNFA	LAGE3	2	0.78	0.39
TNFA	RBM22	5	0.581	0.1162
TNFA	ASXL1	4	0.157	0.03925
TNFA	VGLL3	5	0.378	0.0756
TNFA	SSX1	6	0.874	0.145666666666667
TNFA	ACLY	4	0.252	0.063
TNFA	BTK	2	0.508	0.254
NFAC2	SFPQ	3	0.099	0.033
NFAC2	JPH3	4	0.487	0.12175
NFAC2	CDHR1	5	0.356	0.0712
NFAC2	APOL2	4	0.416	0.104
NFAC2	KLK5	3	0.487	0.162333333333333
NFAC2	CYR61	3	0.183	0.061
NFAC2	ALX1	2	0.394	0.197
NFAC2	SNX27	4	0.538	0.1345
NFAC2	PTPRG	4	0.556	0.139
NFAC2	LAGE3	4	0.715	0.17875
NFAC2	RBM22	5	0.466	0.0932
NFAC2	ASXL1	4	0.073	0.01825
NFAC2	VGLL3	5	0.348	0.0696
NFAC2	SSX1	5	0.872	0.1744
NFAC2	ACLY	4	0.201	0.05025
NFAC2	BTK	2	0.395	0.1975
NOS2	SFPQ	4	0.255	0.06375
NOS2	JPH3	3	0.485	0.161666666666667
NOS2	CDHR1	5	0.394	0.0788
NOS2	APOL2	5	0.541	0.1082
NOS2	KLK5	4	0.585	0.14625
NOS2	CYR61	3	0.221	0.0736666666666667
NOS2	ALX1	4	0.523	0.13075
NOS2	SNX27	4	0.561	0.14025
NOS2	PTPRG	4	0.589	0.14725
NOS2	LAGE3	5	0.996	0.1992
NOS2	RBM22	6	0.622	0.103666666666667
NOS2	ASXL1	5	0.229	0.0458
NOS2	VGLL3	6	0.454	0.0756666666666667
NOS2	SSX1	4	0.879	0.21975
NOS2	ACLY	3	0.254	0.0846666666666667
NOS2	BTK	5	0.851	0.1702
5HT2B	SFPQ	4	0.259	0.06475
5HT2B	JPH3	5	0.675	0.135
5HT2B	CDHR1	6	0.433	0.0721666666666667
5HT2B	APOL2	5	0.545	0.109
5HT2B	KLK5	4	0.589	0.14725
5HT2B	CYR61	4	0.26	0.065
5HT2B	ALX1	4	0.546	0.1365
5HT2B	SNX27	4	0.565	0.14125
5HT2B	PTPRG	2	0.53	0.265
5HT2B	LAGE3	5	0.62	0.124
5HT2B	RBM22	6	0.626	0.104333333333333
5HT2B	ASXL1	5	0.233	0.0466
5HT2B	VGLL3	6	0.458	0.0763333333333333
5HT2B	SSX1	5	0.924	0.1848
5HT2B	ACLY	5	0.351	0.0702
5HT2B	BTK	4	0.76	0.19
HS90A	SFPQ	4	0.255	0.06375
HS90A	JPH3	3	0.553	0.184333333333333
HS90A	CDHR1	5	0.292	0.0584
HS90A	APOL2	3	0.375	0.125
HS90A	KLK5	4	0.505	0.12625
HS90A	CYR61	3	0.119	0.0396666666666667
HS90A	ALX1	3	0.381	0.127
HS90A	SNX27	2	0.727	0.3635
HS90A	PTPRG	4	0.516	0.129
HS90A	LAGE3	2	0.675	0.3375
HS90A	RBM22	6	0.622	0.103666666666667
HS90A	ASXL1	3	0.086	0.0286666666666667
HS90A	VGLL3	4	0.307	0.07675
HS90A	SSX1	5	0.803	0.1606
HS90A	ACLY	3	0.181	0.0603333333333333
HS90A	BTK	2	0.403	0.2015
LCK	SFPQ	5	0.274	0.0548
LCK	JPH3	4	0.544	0.136
LCK	CDHR1	6	0.373	0.0621666666666667
LCK	APOL2	5	0.485	0.097
LCK	KLK5	4	0.555	0.13875
LCK	CYR61	4	0.2	0.05
LCK	ALX1	5	0.491	0.0982
LCK	SNX27	4	0.505	0.12625
LCK	PTPRG	3	0.523	0.174333333333333
LCK	LAGE3	3	0.415	0.138333333333333
LCK	RBM22	7	0.641	0.0915714285714286
LCK	ASXL1	5	0.196	0.0392
LCK	VGLL3	5	0.382	0.0764
LCK	SSX1	5	0.829	0.1658
LCK	ACLY	5	0.291	0.0582
LCK	BTK	1	0.095	0.095
ADCYA	SFPQ	2	0.477	0.2385
ADCYA	JPH3	6	0.941	0.156833333333333
ADCYA	CDHR1	6	0.575	0.0958333333333333
ADCYA	APOL2	6	0.723	0.1205
ADCYA	KLK5	7	0.857	0.122428571428571
ADCYA	CYR61	4	0.402	0.1005
ADCYA	ALX1	5	0.704	0.1408
ADCYA	SNX27	6	0.938	0.156333333333333
ADCYA	PTPRG	4	0.673	0.16825
ADCYA	LAGE3	4	0.979	0.24475
ADCYA	RBM22	4	0.844	0.211
ADCYA	ASXL1	6	0.434	0.0723333333333333
ADCYA	VGLL3	7	0.655	0.0935714285714286
ADCYA	SSX1	7	1.108	0.158285714285714
ADCYA	ACLY	2	0.233	0.1165
ADCYA	BTK	4	0.887	0.22175
HS90B	SFPQ	3	0.506	0.168666666666667
HS90B	JPH3	5	0.826	0.1652
HS90B	CDHR1	6	0.448	0.0746666666666667
